
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2019-10-10,FR9112,"Torino / Caselle (TRN/LIMF)","Barcelona / El Prat (BCN/LEBL)",12:30:00,14:00:00,01:30:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DLD,,0,1,1,,3008,239,668,231
2019-10-15,FR9366,"Barcelona / El Prat (BCN/LEBL)","Bologna / Borgo Panigale (BLQ/LIPE)",05:25:00,07:10:00,01:45:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EBL,,0,1,1,,239,346,668,231
2019-09-16,6E11,"Delhi / Indira Gandhi (DEL/VIDP)","Istanbul / Istanbul Airport (IST/LTFM)",05:15:00,10:35:00,07:20:00,"IndiGo (6E/IGO)","Airbus A321-200 (A321)",,,0,1,1,,689,8949,1122,2076
2019-10-03,PC1211,"Istanbul / Sabiha Gokcen (SAW/LTFJ)","Bergamo / Orio Al Serio (BGY/LIME)",13:10:00,14:00:00,02:50:00,"Pegasus Airlines (PC/PGT)","Airbus A320 (A320)",TC-DCJ,,0,1,1,,3659,293,1014,27
2019-09-29,PC3302,"Izmir / Adnan Menderes (ADB/LTBJ)","Istanbul / Istanbul Airport (IST/LTFM)",11:25:00,12:45:00,01:20:00,"Pegasus Airlines (PC/PGT)","Boeing 737-800 (B738)",,,0,1,1,,36,8949,1014,231
2019-09-22,PC2184,"Istanbul / Sabiha Gokcen (SAW/LTFJ)","Izmir / Adnan Menderes (ADB/LTBJ)",08:20:00,09:30:00,01:10:00,"Pegasus Airlines (PC/PGT)","Boeing 737-800 (B738)",,,0,1,1,,3659,36,1014,231
2019-08-28,FD130,"Bangkok / Don Mueang International (DMK/VTBD)","Jaipur / Sanganeer (JAI/VIJP)",19:30:00,22:35:00,05:05:00,"Thai AirAsia (FD/AIQ)","Airbus A320-200 (A320)",,,0,1,1,,3565,1315,1077,2059
2019-08-26,SL525,"Chiang Mai / Chiang Mai (CNX/VTCC)","Bangkok / Don Mueang International (DMK/VTBD)",06:50:00,08:05:00,01:15:00,"Thai Lion Air (SL/TLM)","Boeing 737-800 (B738)",,,0,0,0,,3642,3565,2010,231
2019-07-30,AK856,"Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)","Chiang Mai / Chiang Mai (CNX/VTCC)",12:45:00,14:35:00,02:50:00,"Air Asia (AK/AXM)","Airbus A320-200 (A320)",,,0,0,0,,1527,3642,103,2059
2019-07-28,AK379,"Denpasar Bali / Ngurah Rai (DPS/WRRR)","Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)",19:55:00,23:05:00,03:10:00,"Air Asia (AK/AXM)","Airbus A320-200 (A320)",,,0,0,0,,3582,1527,103,2059
2019-06-30,OD173,"Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)","Denpasar Bali / Ngurah Rai (DPS/WRRR)",19:55:00,23:05:00,03:10:00,"Malindo Air (OD/MXD)","Boeing 737-900 (B739)",,,0,0,0,,1527,3582,2372,232
2019-06-29,OD581,"Phnom Penh / Pochentong (PNH/VDPP)","Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)",11:20:00,14:20:00,02:00:00,"Malindo Air (OD/MXD)","Boeing 737-800 (B738)",,,0,0,0,,2362,1527,2372,231
2019-06-13,5J257,"Manila / Ninoy Aquino International (MNL/RPLL)","Siem Reap / Angkor Wat (REP/VDSR)",19:55:00,22:35:00,03:40:00,"Cebu Pacific (5J/CEB)","Airbus A320-200 (A320)",,,0,0,0,,1898,2502,906,2059
2019-06-12,Z2772,"Lapu-Lapu / Mactan-Cebu (CEB/RPVM)","Manila / Ninoy Aquino International (MNL/RPLL)",21:25:00,22:50:00,01:25:00,"Air Asia (AK/AXM)","Airbus A320-200 (A320)",,,0,0,0,,2086,1898,103,2059
2019-06-02,PR2683,"Busuanga / Francisco B. Reyes (USU/RPVV)","Lapu-Lapu / Mactan-Cebu (CEB/RPVM)",07:00:00,08:25:00,01:25:00,"Philippine Airlines (PR/PAL)","Bombardier Dash 8 (DH8X)",,,0,0,0,,3725,2086,597,2031
2019-05-16,5J745,"Hanoi / Noibai (HAN/VVNB)","Manila / Ninoy Aquino International (MNL/RPLL)",08:15:00,12:40:00,03:25:00,"Cebu Pacific (5J/CEB)","Airbus A320-200 (A320)",,,0,0,0,,1094,1898,906,2059
2019-05-17,PR2787,"Manila / Ninoy Aquino International (MNL/RPLL)","Puerto Princesa / Puerto Princesa (PPS/RPVP)",17:10:00,18:25:00,01:15:00,"Philippine Airlines (PR/PAL)","Airbus A321-200 (A321)",,,0,0,0,,1898,2394,597,2076
2019-03-12,VJ808,"Phuket / Phuket (HKT/VTSP)","Hochiminh / Tan Son Nhat (SGN/VVTS)",14:10:00,16:05:00,01:55:00,"VietJet Air (VJ/VJC)","Airbus A320-200 (A320)",,,0,0,0,,1137,2650,1632,2059
2019-02-01,DD7910,"Bangkok / Don Mueang International (DMK/VTBD)","Krabi / Krabi (KBV/VTSG)",06:30:00,07:45:00,01:15:00,"Nok Air (DD/NOK)","Boeing 737-800 (B738)",,,0,0,0,,3565,3562,1244,231
2019-01-27,EW1106,"Dusseldorf / Dusseldorf International (DUS/EDDL)","Bangkok / Suvarnabhumi (BKK/VTBS)",18:15:00,12:40:00,12:25:00,"Eurowings (EW/EWG)","Airbus A330-200 (A332)",,,0,0,0,,763,331,282,30
2019-01-23,TP224,"Miami / Miami International (MIA/KMIA)","Lisbon / Portela (LIS/LPPT)",17:45:00,05:45:00,08:00:00,"TAP Air Portugal (TP/TAP)","Airbus A330-900neo (A339)",,,0,0,0,,1831,1632,753,2130
2019-01-26,TP542,"Lisbon / Portela (LIS/LPPT)","Dusseldorf / Dusseldorf International (DUS/EDDL)",17:40:00,21:40:00,03:00:00,"TAP Air Portugal (TP/TAP)","Airbus A319-200 (A319)",,,0,0,0,,1632,763,753,2074
2019-03-14,VN0114,"Hochiminh / Tan Son Nhat (SGN/VVTS)","Danang / Da Nang (DAD/VVDN)",22:05:00,23:25:00,01:20:00,"Vietnam Airlines (VN/HVN)","Airbus A321 (A321)",,,0,0,0,,2650,671,366,28
2019-01-09,CM620,"Bogota / Eldorado Intl. (BOG/SKBO)","Panama City / Tocumen (PTY/MPTO)",08:40:00,10:31:00,01:51:00,"Copa Airlines (CM/CMP)","Boeing 737-800 (B738)",,,0,0,0,,371,2418,194,231
2019-01-09,CM478,"Panama City / Tocumen (PTY/MPTO)","Orlando / Orlando (MCO/KMCO)",11:42:00,16:16:00,03:34:00,"Copa Airlines (CM/CMP)","Boeing 737-800 (B738)",,,0,0,0,,2418,1768,194,231
2018-12-31,LA4115,"Cartagena / Cartagena (CTG/SKCG)","Bogota / Eldorado Intl. (BOG/SKBO)",20:03:00,21:28:00,01:25:00,"LATAM Airlines (LA/LAN)","Airbus A320-200 (A320)",,,0,0,0,,628,371,2656,2059
2018-12-18,P57216,"Medellin / Jose Maria Cordova (MDE/SKRG)","Cartagena / Cartagena (CTG/SKCG)",20:16:00,21:25:00,01:09:00,"Aero Republica (P5/RPB)","Airbus A320-200 (A320)",,,0,0,0,,1777,628,656,2059
2018-12-17,7P304,"Panama City / Marcos A Gelabert (PAC/MPMG)","Medellin / Jose Maria Cordova (MDE/SKRG)",00:00:00,00:00:00,00:59:00,"Air Panama (7P/PST)"," ()",,,0,0,0,,2252,1777,1591,0
2018-12-12,P57042,"Medellin / Jose Maria Cordova (MDE/SKRG)","Balboa / Balboa Panama Pacifico International Airport (BLB/MPPA)",10:43:00,11:54:00,01:11:00,"Aero Republica (P5/RPB)","Boeing 737-700 (B737)",,,0,0,0,,1777,6752,656,230
2018-12-10,LA4026,"Bogota / Eldorado Intl. (BOG/SKBO)","Medellin / Jose Maria Cordova (MDE/SKRG)",18:53:00,19:51:00,00:58:00,"LATAM Airlines (LA/LAN)","Airbus A320-200 (A320)",,,0,0,0,,371,1777,2656,2059
2018-11-28,LA4114,"Bogota / Eldorado Intl. (BOG/SKBO)","Cartagena / Cartagena (CTG/SKCG)",18:06:00,19:31:00,01:25:00,"LATAM Airlines (LA/LAN)","Airbus A319-200 (A319)",,,0,0,0,,371,628,2656,2074
2018-12-05,LA4093,"Cartagena / Cartagena (CTG/SKCG)","Bogota / Eldorado Intl. (BOG/SKBO)",10:56:00,12:21:00,01:25:00,"LATAM Airlines (LA/LAN)","Airbus A319-200 (A319)",,,0,0,0,,628,371,2656,2074
2018-10-13,O6844,"Fortaleza / Fortaleza (FOR/SBFZ)","Bogota / Eldorado Intl. (BOG/SKBO)",16:25:00,20:15:00,05:50:00,"Avianca Brazil (O6/ONE)"," ()",,,0,0,0,,916,371,1372,0
