"price","side","product","leverage","amount","margin","base_currency","type","liquidation_price","close_price","pnl","decay","opened_at","closed_at"
"2562.0","sell","SPX500-USD","3",60,"0.02000000","BTC","limit","3245.2","2581.5","-0.00045667",0,"Thu Mar 26 2020 14:18:59 GMT+0000 (Coordinated Universal Time)","Thu Mar 26 2020 18:03:54 GMT+0000 (Coordinated Universal Time)"
"6.08","sell","PBR","5",60,"0.01200000","BTC","limit","7.05","5.68","0.00394737",0,"Thu Mar 26 2020 13:35:34 GMT+0000 (Coordinated Universal Time)","Thu Mar 26 2020 18:03:50 GMT+0000 (Coordinated Universal Time)"
"23.88000","buy","USD-MXN","4",50,"0.01250000","BTC","limit","19.10400","22.97522","-0.00191443",-2000,"Wed Mar 25 2020 19:35:01 GMT+0000 (Coordinated Universal Time)","Thu Mar 26 2020 17:16:37 GMT+0000 (Coordinated Universal Time)"
"24.25000","buy","USD-MXN","4",50,"0.01250000","BTC","limit","19.40000","23.54736","-0.00147874",-3000,"Wed Mar 25 2020 09:32:02 GMT+0000 (Coordinated Universal Time)","Thu Mar 26 2020 14:30:54 GMT+0000 (Coordinated Universal Time)"
"1536.00","buy","XAU-USD","3",25,"0.00833333","BTC","limit","1126.40","1540.98","-0.00008395",-16500,"Mon Mar 16 2020 07:11:05 GMT+0000 (Coordinated Universal Time)","Mon Mar 23 2020 16:13:22 GMT+0000 (Coordinated Universal Time)"
"1536.00","buy","XAU-USD","3",25,"0.00833334","BTC","limit","1126.40","1543.43","-0.00004407",-16500,"Mon Mar 16 2020 07:11:05 GMT+0000 (Coordinated Universal Time)","Mon Mar 23 2020 16:10:37 GMT+0000 (Coordinated Universal Time)"
"24.20000","buy","USD-MXN","5",50,"0.01000000","BTC","limit","20.32800","24.60345","0.00068357",-15000,"Thu Mar 19 2020 13:24:40 GMT+0000 (Coordinated Universal Time)","Sun Mar 22 2020 22:04:50 GMT+0000 (Coordinated Universal Time)"
"1.44300","buy","USD-CAD","5",60,"0.01200000","BTC","limit","1.21212","1.45313","0.00042121",0,"Thu Mar 19 2020 15:30:47 GMT+0000 (Coordinated Universal Time)","Thu Mar 19 2020 23:11:42 GMT+0000 (Coordinated Universal Time)"
"1.08000","sell","EUR-USD","3",60,"0.02000000","BTC","limit","1.36800","1.06671","0.00073833",0,"Thu Mar 19 2020 13:14:27 GMT+0000 (Coordinated Universal Time)","Thu Mar 19 2020 18:38:25 GMT+0000 (Coordinated Universal Time)"
"2500.0","buy","SPX500-USD","2",25,"0.01250000","BTC","market","1500.0","2504.3","0.00003133",-1167,"Tue Mar 17 2020 01:11:23 GMT+0000 (Coordinated Universal Time)","Tue Mar 17 2020 15:59:22 GMT+0000 (Coordinated Universal Time)"
"2500.0","buy","SPX500-USD","2",25,"0.01250000","BTC","market","1500.0","2491.8","-0.00009367",-1167,"Tue Mar 17 2020 01:11:23 GMT+0000 (Coordinated Universal Time)","Tue Mar 17 2020 15:50:52 GMT+0000 (Coordinated Universal Time)"
"12.9776","sell","XAG-USD","3",50,"0.01666667","BTC","market","16.4383","12.9416","0.00013870",0,"Mon Mar 16 2020 14:59:40 GMT+0000 (Coordinated Universal Time)","Mon Mar 16 2020 15:49:33 GMT+0000 (Coordinated Universal Time)"
"1490.00","buy","XAU-USD","3",60,"0.02000000","BTC","limit","1092.67","1499.51","0.00038295",0,"Mon Mar 16 2020 10:57:08 GMT+0000 (Coordinated Universal Time)","Mon Mar 16 2020 15:21:12 GMT+0000 (Coordinated Universal Time)"
"31.954","sell","WTICO-USD","4",50,"0.01250000","BTC","market","38.345","33.293","-0.00245520",-36000,"Mon Mar 09 2020 12:20:09 GMT+0000 (Coordinated Universal Time)","Wed Mar 11 2020 17:35:01 GMT+0000 (Coordinated Universal Time)"
"35.419","sell","BCO-USD","2",50,"0.02500000","BTC","market","49.587","36.365","-0.00167544",-34000,"Mon Mar 09 2020 12:20:34 GMT+0000 (Coordinated Universal Time)","Wed Mar 11 2020 17:34:59 GMT+0000 (Coordinated Universal Time)"
"2828.4","sell","SPX500-USD","2",20,"0.01000000","BTC","market","3959.8","2798.7","0.00020534",-467,"Mon Mar 09 2020 01:28:15 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 13:53:39 GMT+0000 (Coordinated Universal Time)"
"28.013","sell","WTICO-USD","4",50,"0.01250000","BTC","market","33.616","30.636","-0.00468175",0,"Mon Mar 09 2020 04:01:04 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 08:02:49 GMT+0000 (Coordinated Universal Time)"
"32.376","sell","WTICO-USD","2",25,"0.01250000","BTC","market","45.326","30.034","0.00180844",0,"Mon Mar 09 2020 01:16:34 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 06:07:33 GMT+0000 (Coordinated Universal Time)"
"35.379","sell","BCO-USD","2",30,"0.01500000","BTC","market","49.531","33.903","0.00125159",0,"Mon Mar 09 2020 01:31:34 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 06:07:31 GMT+0000 (Coordinated Universal Time)"
"1699.87","buy","XAU-USD","3",20,"0.00666667","BTC","market","1246.57","1671.53","-0.00033344",0,"Mon Mar 09 2020 01:19:35 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 04:22:04 GMT+0000 (Coordinated Universal Time)"
"21.01015","sell","USD-MXN","3",11,"0.00366667","BTC","market","26.61286","21.08091","-0.00003705",0,"Mon Mar 09 2020 01:24:50 GMT+0000 (Coordinated Universal Time)","Mon Mar 09 2020 01:36:10 GMT+0000 (Coordinated Universal Time)"
